nr;X;Y;H
1;5653340,992;7532377,133;198,34
2;5653338,278;7532477,123;197,49
3;5653335,563;7532577,113;199,61
4;5653443,697;7532279,857;185,96
5;5653440,982;7532379,847;186,27
6;5653438,268;7532479,837;185,7
7;5653435,553;7532579,827;184,85
8;5653432,839;7532679,817;182,13
9;5653430,124;7532779,808;196,77
10;5653549,116;7532082,591;194,96
11;5653546,402;7532182,581;188,95
12;5653543,687;7532282,572;190,39
13;5653540,972;7532382,562;189,19
14;5653538,258;7532482,552;188,24
15;5653535,543;7532582,542;187,19
16;5653532,829;7532682,532;185,92
17;5653530,114;7532782,522;184,45
18;5653527,4;7532882,512;182,36
19;5653651,821;7531985,315;191,16
20;5653649,106;7532085,306;191,65
21;5653646,392;7532185,296;191,08
22;5653643,677;7532285,286;190,34
23;5653640,963;7532385,276;189,58
24;5653638,248;7532485,266;188,28
25;5653635,533;7532585,257;187,57
